step;body_id;x;y;z
0;0;6.6743e+07;6.6743e+07;0
0;1;-9.03402e+07;2.35972e+07;0
0;2;2.35972e+07;-9.03402e+07;0
1;0;1.33486e+08;1.33486e+08;0
1;1;-1.8068e+08;4.71944e+07;0
1;2;4.71944e+07;-1.8068e+08;0
2;0;2.00229e+08;2.00229e+08;0
2;1;-2.71021e+08;7.07917e+07;0
2;2;7.07917e+07;-2.71021e+08;0
3;0;2.66972e+08;2.66972e+08;0
3;1;-3.61361e+08;9.43889e+07;0
3;2;9.43889e+07;-3.61361e+08;0
4;0;3.33715e+08;3.33715e+08;0
4;1;-4.51701e+08;1.17986e+08;0
4;2;1.17986e+08;-4.51701e+08;0
5;0;4.00458e+08;4.00458e+08;0
5;1;-5.42041e+08;1.41583e+08;0
5;2;1.41583e+08;-5.42041e+08;0
6;0;4.67201e+08;4.67201e+08;0
6;1;-6.32382e+08;1.65181e+08;0
6;2;1.65181e+08;-6.32382e+08;0
7;0;5.33944e+08;5.33944e+08;0
7;1;-7.22722e+08;1.88778e+08;0
7;2;1.88778e+08;-7.22722e+08;0
8;0;6.00687e+08;6.00687e+08;0
8;1;-8.13062e+08;2.12375e+08;0
8;2;2.12375e+08;-8.13062e+08;0
9;0;6.6743e+08;6.6743e+08;0
9;1;-9.03402e+08;2.35972e+08;0
9;2;2.35972e+08;-9.03402e+08;0
10;0;7.34173e+08;7.34173e+08;0
10;1;-9.93742e+08;2.59569e+08;0
10;2;2.59569e+08;-9.93742e+08;0
11;0;8.00916e+08;8.00916e+08;0
11;1;-1.08408e+09;2.83167e+08;0
11;2;2.83167e+08;-1.08408e+09;0
12;0;8.67659e+08;8.67659e+08;0
12;1;-1.17442e+09;3.06764e+08;0
12;2;3.06764e+08;-1.17442e+09;0
13;0;9.34402e+08;9.34402e+08;0
13;1;-1.26476e+09;3.30361e+08;0
13;2;3.30361e+08;-1.26476e+09;0
14;0;1.00114e+09;1.00114e+09;0
14;1;-1.3551e+09;3.53958e+08;0
14;2;3.53958e+08;-1.3551e+09;0
15;0;1.06789e+09;1.06789e+09;0
15;1;-1.44544e+09;3.77555e+08;0
15;2;3.77555e+08;-1.44544e+09;0
16;0;1.13463e+09;1.13463e+09;0
16;1;-1.53578e+09;4.01153e+08;0
16;2;4.01153e+08;-1.53578e+09;0
17;0;1.20137e+09;1.20137e+09;0
17;1;-1.62612e+09;4.2475e+08;0
17;2;4.2475e+08;-1.62612e+09;0
18;0;1.26812e+09;1.26812e+09;0
18;1;-1.71646e+09;4.48347e+08;0
18;2;4.48347e+08;-1.71646e+09;0
19;0;1.33486e+09;1.33486e+09;0
19;1;-1.8068e+09;4.71944e+08;0
19;2;4.71944e+08;-1.8068e+09;0
20;0;1.4016e+09;1.4016e+09;0
20;1;-1.89714e+09;4.95542e+08;0
20;2;4.95542e+08;-1.89714e+09;0
21;0;1.46835e+09;1.46835e+09;0
21;1;-1.98748e+09;5.19139e+08;0
21;2;5.19139e+08;-1.98748e+09;0
22;0;1.53509e+09;1.53509e+09;0
22;1;-2.07783e+09;5.42736e+08;0
22;2;5.42736e+08;-2.07783e+09;0
23;0;1.60183e+09;1.60183e+09;0
23;1;-2.16817e+09;5.66333e+08;0
23;2;5.66333e+08;-2.16817e+09;0
24;0;1.66858e+09;1.66858e+09;0
24;1;-2.25851e+09;5.8993e+08;0
24;2;5.8993e+08;-2.25851e+09;0
25;0;1.73532e+09;1.73532e+09;0
25;1;-2.34885e+09;6.13528e+08;0
25;2;6.13528e+08;-2.34885e+09;0
26;0;1.80206e+09;1.80206e+09;0
26;1;-2.43919e+09;6.37125e+08;0
26;2;6.37125e+08;-2.43919e+09;0
27;0;1.8688e+09;1.8688e+09;0
27;1;-2.52953e+09;6.60722e+08;0
